Journal Name,Publisher,APC,Review Time,Quartile,Scopus Status,Source URL
Annals of Indian Academy of Neurology,Wolters Kluwer Medknow Publications,Free (MU Directory),22 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Annals%20of%20Indian%20Academy%20of%20Neurology
Saudi Journal for Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),18 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Saudi%20Journal%20for%20Health%20Sciences
Journal of Obstetric Anaesthesia and Critical Care,Wolters Kluwer Medknow Publications,Free (MU Directory),29 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Obstetric%20Anaesthesia%20and%20Critical%20Care
Journal of Anaesthesiology Clinical Pharmacology,Wolters Kluwer Medknow Publications,Free (MU Directory),18 weeks,Q2,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Journal%20of%20Anaesthesiology%20Clinical%20Pharmacology
Endodontology,Wolters Kluwer Medknow Publications,Free (MU Directory),34 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Endodontology
Taiwanese Journal of Psychiatry,Wolters Kluwer Medknow Publications,Free (MU Directory),11 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Taiwanese%20Journal%20of%20Psychiatry
Journal of Dental Research and Review,Wolters Kluwer Medknow Publications,Free (MU Directory),4 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Dental%20Research%20and%20Review
Social Health and Behavior,Wolters Kluwer Medknow Publications,Free (MU Directory),17 weeks,Not Available,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Social%20Health%20and%20Behavior
Asian Pacific Journal of Tropical Biomedicine,Wolters Kluwer Medknow Publications,Free (MU Directory),12 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Asian%20Pacific%20Journal%20of%20Tropical%20Biomedicine
Journal of Traditional and Complementary Medicine,Elsevier,No APC (DOAJ),12 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Traditional%20and%20Complementary%20Medicine
Indian Journal of Research in Homoeopathy,Wolters Kluwer Medknow Publications,Not Available,Not Available,Q3,Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Research%20in%20Homoeopathy
The Journal of Association of Chest Physicians,Wolters Kluwer Medknow Publications,Free (MU Directory),31 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Journal%20of%20Association%20of%20Chest%20Physicians
Heart and Mind,Wolters Kluwer Medknow Publications,Free (MU Directory),14 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Heart%20and%20Mind
Journal of Mahatma Gandhi Institute of Medical Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),24 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Mahatma%20Gandhi%20Institute%20of%20Medical%20Sciences
International Archives of Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),8 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Archives%20of%20Health%20Sciences
Perspectives in Clinical Research,Wolters Kluwer Medknow Publications,Free (MU Directory),26 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Perspectives%20in%20Clinical%20Research
Journal of Orthopaedic Diseases and Traumatology,Wolters Kluwer Medknow Publications,5000 INR (DOAJ),32 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Orthopaedic%20Diseases%20and%20Traumatology
International Journal of Advanced Medical and Health Research,Wolters Kluwer Medknow Publications,Free (MU Directory),27 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=International%20Journal%20of%20Advanced%20Medical%20and%20Health%20Research
مجلة المستنصرية الطبية,Wolters Kluwer Medknow Publications,Not Available,Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=%D9%85%D8%AC%D9%84%D8%A9%20%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%86%D8%B5%D8%B1%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9
Journal of Applied Hematology,Wolters Kluwer Medknow Publications,180 USD (DOAJ),14 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Applied%20Hematology
"Visual Computing for Industry, Biomedicine, and Art",SpringerOpen,Free (MU Directory),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Visual%20Computing%20for%20Industry%2C%20Biomedicine%2C%20and%20Art
Indian Journal of Dermatopathology and Diagnostic Dermatology,Wolters Kluwer Medknow Publications,Free (MU Directory),31 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Dermatopathology%20and%20Diagnostic%20Dermatology
Journal of Acute Disease,Wolters Kluwer Medknow Publications,Free (MU Directory),13 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Acute%20Disease
Indian Journal of Vascular and Endovascular Surgery,Wolters Kluwer Medknow Publications,Free (MU Directory),23 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Vascular%20and%20Endovascular%20Surgery
Journal of Current Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),34 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Current%20Ophthalmology
Journal of Forensic Science and Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),15 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Forensic%20Science%20and%20Medicine
Journal of Oral Research and Review,Wolters Kluwer Medknow Publications,Free (MU Directory),29 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Oral%20Research%20and%20Review
Iraqi Journal of Hematology,Wolters Kluwer Medknow Publications,Free (MU Directory),19 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Iraqi%20Journal%20of%20Hematology
BLDE University Journal of Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),39 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=BLDE%20University%20Journal%20of%20Health%20Sciences
Journal of Ayurveda,Wolters Kluwer Medknow Publications,No APC (DOAJ),24 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Ayurveda
Oman Journal of Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),31 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Oman%20Journal%20of%20Ophthalmology
Journal of Cleft Lip Palate and Craniofacial Anomalies,Wolters Kluwer Medknow Publications,Free (MU Directory),22 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Cleft%20Lip%20Palate%20and%20Craniofacial%20Anomalies
Asian Pacific Journal of Reproduction,Wolters Kluwer Medknow Publications,Free (MU Directory),27 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Asian%20Pacific%20Journal%20of%20Reproduction
Journal of Indian Academy of Oral Medicine and Radiology,Wolters Kluwer Medknow Publications,11800 INR (DOAJ),23 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Journal%20of%20Indian%20Academy%20of%20Oral%20Medicine%20and%20Radiology
Indian Journal of Burns,Wolters Kluwer Medknow Publications,Free (MU Directory),29 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Burns
Indian Journal of Dermatology,Wolters Kluwer Medknow Publications,Free (MU Directory),31 weeks,Q3,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Dermatology
Educación Médica,Elsevier,500 EUR (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Educaci%C3%B3n%20M%C3%A9dica
Journal of Medical Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),11 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Medical%20Sciences
The Indian Anaesthetists' Forum,Wolters Kluwer Medknow Publications,Free (MU Directory),Not Available,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Indian%20Anaesthetists%27%20Forum
APIK Journal of Internal Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),34 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=APIK%20Journal%20of%20Internal%20Medicine
Prostate International,Elsevier,1800 USD (DOAJ),12 weeks,Q1,Indexed,https://journalsearches.com/journal.php?title=Prostate%20International
MRIMS Journal of Health Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),24 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=MRIMS%20Journal%20of%20Health%20Sciences
Osteoporosis and Sarcopenia,Elsevier,No APC (DOAJ),20 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Osteoporosis%20and%20Sarcopenia
Saudi Journal of Oral Sciences,Wolters Kluwer Medknow Publications,Free (MU Directory),15 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Saudi%20Journal%20of%20Oral%20Sciences
Delta Journal of Ophthalmology,Wolters Kluwer Medknow Publications,Free (MU Directory),29 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Delta%20Journal%20of%20Ophthalmology
Indian Journal of Social Psychiatry,Wolters Kluwer Medknow Publications,Free (MU Directory),12 weeks,Q4,Not Indexed (Coverage ended),https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Social%20Psychiatry
Asian Journal of Transfusion Science,Wolters Kluwer Medknow Publications,Free (MU Directory),51 weeks,Q4,Indexed,https://journalsearches.com/journal.php?title=Asian%20Journal%20of%20Transfusion%20Science
Journal of Marine Medical Society,Wolters Kluwer Medknow Publications,No APC (DOAJ),38 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Marine%20Medical%20Society
Current Medical Issues,Wolters Kluwer Medknow Publications,Free (MU Directory),27 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Current%20Medical%20Issues
Journal of Clinical and Preventive Cardiology,Wolters Kluwer Medknow Publications,Free (MU Directory),26 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Clinical%20and%20Preventive%20Cardiology
Saudi Dental Journal,Elsevier,1790 GBP (DOAJ),22 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Saudi%20Dental%20Journal
Indian Journal of Endocrinology and Metabolism,Wolters Kluwer Medknow Publications,Free (MU Directory),24 weeks,Q3,Indexed,https://journalsearches.com/journal.php?title=Indian%20Journal%20of%20Endocrinology%20and%20Metabolism
Journal of Primary Care Specialties,Wolters Kluwer Medknow Publications,Free (MU Directory),27 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=Journal%20of%20Primary%20Care%20Specialties
Gynecology and Minimally Invasive Therapy,Wolters Kluwer Medknow Publications,Free (MU Directory),34 weeks,Q2,Indexed,https://journalsearches.com/journal.php?title=Gynecology%20and%20Minimally%20Invasive%20Therapy
The Journal of the International Society of Physical and Rehabilitation Medicine,Wolters Kluwer Medknow Publications,Free (MU Directory),15 weeks,Not Available,Not Indexed,https://journalsearches.com/journal.php?title=The%20Journal%20of%20the%20International%20Society%20of%20Physical%20and%20Rehabilitation%20Medicine
Journal of the Egyptian Women’s Dermatologic Society,Wolters Kluwer Medknow Publications,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Journal%20of%20the%20Egyptian%20Women%E2%80%99s%20Dermatologic%20Society
"Hematology, Transfusion and Cell Therapy",Elsevier,No APC (DOAJ),Not Available,Not Available,Not Available,https://journalsearches.com/journal.php?title=Hematology%2C%20Transfusion%20and%20Cell%20Therapy
